Source,Target,Type,Name,Year,Partnerhip Type,Weight
5,49,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
5,26,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
5,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
5,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
5,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
49,26,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
49,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
49,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
49,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
26,28,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
26,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
26,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
28,29,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
28,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
29,31,Undirected,Climate and Clean Air Coalition,2012,Coordinated activity,0.022222222
5,18,Undirected,Coastal Blue Carbon Initiative,2014,Coordinated activity,0.16666667
5,1,Undirected,Coastal Blue Carbon Initiative,2014,Coordinated activity,0.16666667
5,25,Undirected,Coastal Blue Carbon Initiative,2014,Coordinated activity,0.16666667
18,1,Undirected,Coastal Blue Carbon Initiative,2014,Coordinated activity,0.16666667
18,25,Undirected,Coastal Blue Carbon Initiative,2014,Coordinated activity,0.16666667
1,25,Undirected,Coastal Blue Carbon Initiative,2014,Coordinated activity,0.16666667
45,18,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,5,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,13,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,1,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,14,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,43,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
18,5,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
18,13,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
18,1,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
18,14,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
18,43,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
18,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
5,13,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
5,1,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
5,14,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
5,43,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
5,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
13,1,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
13,14,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
13,43,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
13,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
1,14,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
1,43,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
1,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
14,43,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
14,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
43,28,Undirected,Collaborative Partnership on Forests,2011,Collaborative partnerhip,0.03571429
45,46,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
45,47,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
45,18,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
45,9,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
45,5,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
46,47,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
46,18,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
46,9,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
46,5,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
47,18,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
47,9,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
47,5,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
18,9,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
18,5,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
9,5,Undirected,Collaborative Partnership on Sustainable Wildlife Management,2011,Collaborative partnerhip,0.06666667
1,13,Undirected,Combatting land degradation: Securing a sustainable future,2019,Co-authorship,1
1,17,Undirected,COMDEKS: Community Action to Achieve the Aichi Biodiversity Targets,2017,Collaborative partnerhip,1
5,28,Undirected,Commodities Integrated Approach Programme: Taking Deforestation Out of Commodity Supply Chains,2015,Co-authorship,1
18,5,Undirected,Common Oceans - Global Sustainable Fisheries Management and Biodiversity Conservation in Areas Beyond National Jurisdiction,2017,Co-authorship,0.33333333
18,28,Undirected,Common Oceans - Global Sustainable Fisheries Management and Biodiversity Conservation in Areas Beyond National Jurisdiction,2017,Co-authorship,0.33333333
5,28,Undirected,Common Oceans - Global Sustainable Fisheries Management and Biodiversity Conservation in Areas Beyond National Jurisdiction,2017,Co-authorship,0.33333333
46,47,Undirected,Cross-Regional Wildlife Conservation in Easter and Southern Africa and the Indian Ocean,2015,Co-authorship,0.33333333
46,41,Undirected,Cross-Regional Wildlife Conservation in Easter and Southern Africa and the Indian Ocean,2015,Co-authorship,0.33333333
47,41,Undirected,Cross-Regional Wildlife Conservation in Easter and Southern Africa and the Indian Ocean,2015,Co-authorship,0.33333333
5,25,Undirected,Cultural Diversity and Biodiversity for Sustainable Development ,2002,Co-authorship,1
13,18,Undirected,Drought Impact and Vulnerability Assessment: Available Approaches and policy recommendations,2019,Co-authorship,1
1,5,Undirected,Eco-Green Clubs in Schools,2016,Co-authorship,1
35,46,Undirected,Enhancing Cooperation for Sustainable Development,2015,Co-authorship,1
5,25,Undirected,"Environment, Religion and Culture in the Context of the 2030 Agenda for Sustainable Development",2016,Co-authorship,1
1,5,Undirected,Equator Initiative,2015,Collaborative partnerhip,0.33333333
1,45,Undirected,Equator Initiative,2015,Collaborative partnerhip,0.33333333
5,45,Undirected,Equator Initiative,2015,Collaborative partnerhip,0.33333333
43,28,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,23,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,35,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,3,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,1,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,51,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,52,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,48,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,49,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,50,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,18,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,34,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,19,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,20,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,21,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,24,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,39,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,45,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,46,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,2,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,13,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,25,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,11,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,5,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,14,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,6,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,8,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,26,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,15,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,16,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,10,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,41,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,7,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,4,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,29,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
43,30,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,23,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,35,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,3,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,1,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,51,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,52,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,48,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,49,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,50,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,18,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,34,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,19,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,20,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,21,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,24,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,39,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,45,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,46,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,2,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,13,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,25,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,11,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,5,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,14,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,6,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,8,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,26,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,15,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,16,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,10,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,41,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,7,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,4,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,29,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
28,30,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,35,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,3,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,1,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,51,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,52,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,48,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,49,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,50,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,18,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,34,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,19,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,20,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,21,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,24,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,39,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,45,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,46,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,2,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,13,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,25,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,11,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,5,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,14,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,6,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,8,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,26,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,15,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,16,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,10,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,41,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,7,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,4,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,29,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
23,30,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,3,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,1,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,51,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,52,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,48,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,49,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,50,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,18,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,34,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,19,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,20,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,21,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,24,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,39,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,45,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,46,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,2,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,13,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
35,25,Undirected,Financing for development: progress and prospects 2018,2018,Co-authorship,0.00015015
